content_id,content,subject,sentiment_value,sentiment_word,sp_word
XuPwKCnA2fqNh5vm,价格便宜,价格,0,,价格便宜
2jNbDn85goX3IuPE,南昌优惠多少啊,价格,0,,价格便宜
hLgEADQ8sUnvGFK9,2.5优惠20000,价格,0,,
nZmM7LQsfr03wUaz,优惠还给力,价格,0,,
pwd8MnrthDqLZafe,优惠2万,价格,0,,价格便宜
cudSKGTyMLbIt8k3,2.0时尚优惠两万现金吗？还有其他赠品吗？    ,价格,0,,价格便宜
U5RMQtopwFzDVxHm,27.5 相比较优惠的少,价格,0,,价格便宜
Kh0ayJjuTrzwPAs1,综合优惠两万,价格,0,,
YZovRtEAyQJgTi1I,差不多15000左右的优惠    ,价格,0,,价格便宜
BeSIAUzoTWH9muYl,这个配置性价比很高,配置,0,,价格便宜
SXYTBWg6FxuboMnd,谁还用车载导航呀,配置,0,,优惠
RDgTmzW9xBfY6pGv,我也是受够了16款的垃圾导航,配置,0,,优惠
8cMwzsxkL4XtuDG1,森林人导航确实垃圾,配置,0,,优惠
MOUrvjDsIJpbw6dQ,导航现在都用手机的,配置,0,,优惠
t01PVoDSd9Lsy5HN,想指往导航功能就会让你上火,配置,0,,优惠
icMQmPJA9Sv0KGTw,跟轮胎没关系,安全性,0,,优惠
icMQmPJA9Sv0KGTw,跟轮胎没关系,操控,0,,优惠
icMQmPJA9Sv0KGTw,跟轮胎没关系,舒适性,0,,优惠
VQkjM1657sIroCf3, 原车轮胎的直径=215*0.65*2 15*25.4（一英寸=25.4毫米）  周长=3.14*直径 自己算一下,舒适性,0,,优惠
1rGSYnOx9Fb2ULQX,那你们换的什么中控呀？    ,配置,0,,优惠
SgNFp8ixQX1HA64y,都这样,价格,0,,优惠
sO6Ac1mThYBKyl4M,我在北京开才9.2,价格,0,,优惠
sO6Ac1mThYBKyl4M,我在北京开才9.2,油耗,0,,优惠
qIUiOxGdb0M4PQky,这油耗正常的,油耗,0,,优惠
6GMYQa0Ag4o9nsZ2,但有上坡时可不是这油耗,油耗,0,,优惠
6Ewe2kxO5msAg0yU,1.5t昂科威动力不行,动力,0,,优惠
PMeBcRxizIaNmAC7,就是油耗高一点而已,油耗,0,,优惠
9x4gvon6TfN0KtqY,平均油耗9.8的飘过~~~,油耗,0,,优惠
Er3x8Ks6mpQqeZO0,60-80速度区间相对比较省油,油耗,0,,优惠
f5UhrHg6Zztl7VWj,两者价格差不少,价格,0,,优惠
f5UhrHg6Zztl7VWj,里程少的应偏重舒适性,舒适性,0,,优惠
fYtbApDWqzGmKX8F,我开26℃都觉得凉…动力嘛真不好说每个人感受和需求不一样…车子坐4人开了空调我倒觉得动力没怎么减弱,舒适性,0,,优惠
fYtbApDWqzGmKX8F,我开26℃都觉得凉…动力嘛真不好说每个人感受和需求不一样…车子坐4人开了空调我倒觉得动力没怎么减弱,动力,0,,优惠
YUWFxTOoZCkNzKcu,空调压缩机是法雷奥的,舒适性,0,,优惠
hNVSLDr06cMsgwfI,除开这四点 森林人还有很多缺点 比如内饰做工廉价感十足 高速上了120噪音大 CVT牺牲驾驶乐趣 后排没有出风口 没有标配四门一键升窗 棒棒糖钥匙等等 不过都不重要 喜欢就好,内饰,0,,优惠
aV6A5z8pJRkKIC9r,棕色内饰挺好看,内饰,0,,优惠
aV6A5z8pJRkKIC9r,棕色内饰挺好看,外观,0,,优惠
E9SZbnzR2XW0QiLs,真皮座椅真的不用加套,内饰,0,,确实
DXhAOZEsTBVWaSRH,换汤不换药,价格,0,,便宜
6p8glZ2iewsInqK4,毫无根据的说法,价格,0,,确实
AWsymeHLSU1f38tT,刹车事关安全,安全性,0,,优惠
l94kJgMBpYoODyzQ,我这有套力狮GT的全套刹车给你换上比你原装的要好,安全性,0,,确实
bVeAzdpgX7tFDlPI,途观l的100至0刹车确实好,安全性,0,,确实
lQ0N8fd4On7TzcsD,刹车油不贵 一年半就可以换了 我习惯提前点周期换油,安全性,0,,确实
jhmIcH6LTxkGVE19,打开刹车油壶,安全性,0,,确实
68jBJULyWclT9Pir,我的是在低速或停下来慢慢踩刹车和松刹车就会响,安全性,0,,确实
7prF9LJoixSgPQvM,刹车片是刹车片,安全性,0,,优惠
